Ticker,Sector_Wikipedia,Sector_Yahoo
MNST,Consumer_Staples,Consumer_Staples
MO,Consumer_Staples,Consumer_Staples
MOS,Materials,Materials
MPC,Energy,Energy
MRK,Health_Care,Health_Care
MRO,Energy,Energy
MS,Financials,Financials
MSFT,Information_Technology,Information_Technology
MSI,Information_Technology,Information_Technology
MTB,Financials,Financials
MTD,Health_Care,Health_Care
MU,Information_Technology,Information_Technology
MYL,Health_Care,Health_Care
NBL,Energy,Energy
NDAQ,Financials,Financials
NEE,Utilities,Utilities
NEM,Materials,Materials
NFLX,Communication_Services,Consumer_Discretionary
NI,Utilities,Utilities
NKE,Consumer_Discretionary,Consumer_Discretionary
NLSN,Industrials,Industrials
NOC,Industrials,Industrials
NOV,Energy,Energy
NRG,Utilities,Utilities
NSC,Industrials,Industrials
NTAP,Information_Technology,Information_Technology
NTRS,Financials,Financials
NUE,Materials,Materials
NVDA,Information_Technology,Information_Technology
NVR,Consumer_Discretionary,Consumer_Discretionary
NWL,Consumer_Discretionary,Consumer_Discretionary
NWSA,Communication_Services,Consumer_Discretionary
O,Real_Estate,Financials
OKE,Energy,Utilities
OMC,Communication_Services,Consumer_Discretionary
ORCL,Information_Technology,Information_Technology
ORLY,Consumer_Discretionary,Consumer_Discretionary
OXY,Energy,Energy
PAYX,Information_Technology,Information_Technology
PBCT,Financials,Financials
PCAR,Industrials,Industrials
PEG,Utilities,Utilities
PEP,Consumer_Staples,Consumer_Staples
PFE,Health_Care,Health_Care
PFG,Financials,Financials
PG,Consumer_Staples,Consumer_Staples
PGR,Financials,Financials
PH,Industrials,Industrials
PHM,Consumer_Discretionary,Consumer_Discretionary
PKG,Materials,Materials
PKI,Health_Care,Health_Care
PLD,Real_Estate,Financials
PM,Consumer_Staples,Consumer_Staples
PNC,Financials,Financials
PNR,Industrials,Industrials
PNW,Utilities,Utilities
PPG,Materials,Materials
PPL,Utilities,Utilities
PRGO,Health_Care,Health_Care
PRU,Financials,Financials
PSA,Real_Estate,Financials
PSX,Energy,Energy
PVH,Consumer_Discretionary,Consumer_Discretionary
PWR,Industrials,Industrials
PXD,Energy,Energy
QCOM,Information_Technology,Information_Technology
RE,Financials,Financials
REG,Real_Estate,Financials
REGN,Health_Care,Health_Care
RF,Financials,Financials
RHI,Industrials,Industrials
RJF,Financials,Financials
RL,Consumer_Discretionary,Consumer_Discretionary
RMD,Health_Care,Health_Care
ROK,Industrials,Industrials
ROL,Industrials,Industrials
ROP,Industrials,Industrials
ROST,Consumer_Discretionary,Consumer_Discretionary
RSG,Industrials,Industrials
RTN,Industrials,Industrials
SBUX,Consumer_Discretionary,Consumer_Discretionary
SCHW,Financials,Financials
SEE,Materials,Materials
SHW,Materials,Consumer_Discretionary
SIVB,Financials,Financials
SJM,Consumer_Staples,Consumer_Staples
SLB,Energy,Energy
SLG,Real_Estate,Financials
SNA,Industrials,Industrials
SNPS,Information_Technology,Information_Technology
SO,Utilities,Utilities
SPG,Real_Estate,Financials
SRE,Utilities,Utilities
STI,Financials,Financials
STT,Financials,Financials
STX,Information_Technology,Information_Technology
STZ,Consumer_Staples,Consumer_Staples
SWK,Industrials,Industrials
SWKS,Information_Technology,Information_Technology
SYK,Health_Care,Health_Care
SYY,Consumer_Staples,Consumer_Staples
T,Communication_Services,Telecommunications_Services
TAP,Consumer_Staples,Consumer_Staples
TEL,Information_Technology,Information_Technology
TFX,Health_Care,Health_Care
TGT,Consumer_Discretionary,Consumer_Discretionary
TIF,Consumer_Discretionary,Consumer_Discretionary
TJX,Consumer_Discretionary,Consumer_Discretionary
TMO,Health_Care,Health_Care
TRIP,Communication_Services,Consumer_Discretionary
TROW,Financials,Financials
TRV,Financials,Financials
TSCO,Consumer_Discretionary,Consumer_Discretionary
TSN,Consumer_Staples,Consumer_Staples
TTWO,Communication_Services,Information_Technology
TXN,Information_Technology,Information_Technology
TXT,Industrials,Industrials
UA,Consumer_Discretionary,Consumer_Discretionary
UDR,Real_Estate,Financials
UHS,Health_Care,Health_Care
UNH,Health_Care,Health_Care
UNM,Financials,Financials
UNP,Industrials,Industrials
UPS,Industrials,Industrials
URI,Industrials,Industrials
USB,Financials,Financials
UTX,Industrials,Industrials
VAR,Health_Care,Health_Care
VFC,Consumer_Discretionary,Consumer_Discretionary
VIAB,Communication_Services,Consumer_Discretionary
VLO,Energy,Energy
VMC,Materials,Materials
VNO,Real_Estate,Financials
VRSN,Information_Technology,Information_Technology
VRTX,Health_Care,Health_Care
VTR,Real_Estate,Financials
VZ,Communication_Services,Telecommunications_Services
WAB,Industrials,Industrials
WAT,Health_Care,Health_Care
WCG,Health_Care,Health_Care
WDC,Information_Technology,Information_Technology
WEC,Utilities,Utilities
WFC,Financials,Financials
WHR,Consumer_Discretionary,Consumer_Discretionary
WM,Industrials,Industrials
WMB,Energy,Energy
WMT,Consumer_Staples,Consumer_Staples
WU,Information_Technology,Information_Technology
WY,Real_Estate,Materials
WYNN,Consumer_Discretionary,Consumer_Discretionary
XEC,Energy,Energy
XEL,Utilities,Utilities
XLNX,Information_Technology,Information_Technology
XOM,Energy,Energy
XRAY,Health_Care,Health_Care
XRX,Information_Technology,Information_Technology
XYL,Industrials,Industrials
YUM,Consumer_Discretionary,Consumer_Discretionary
ZION,Financials,Financials
ZTS,Health_Care,Health_Care
